(3014,2684)
(3152,2545)
(3376,1276)
(58,1128)
(105,413)
(118,1966)
(133,556)
(195,2179)
(315,1726)
(359,1830)
(389,644)
(404,2549)
(436,435)
(464,434)
(630,1567)
(846,2583)
(852,1500)
(1214,2603)
(1243,2364)
(1394,2116)
(1408,285)
(1807,2167)
(2025,1244)
(2114,29)
(2703,2265)
(2773,1034)
(2852,2189)
(2970,1380)
(3145,2638)
(3146,2591)
(119,496)
(162,553)
(210,1058)
(222,2159)
(313,2550)
(326,479)
(690,1424)
(837,465)
(898,1186)
(916,1139)
(929,1439)
(1012,1478)
(1018,1185)
(1169,2416)
(1800,1665)
(2555,2190)
(2716,29)
(2879,2700)
(2907,1107)
(3027,934)
(3223,2446)
(3344,1229)
(105,1440)
(150,1574)
(419,825)
(464,2041)
(644,322)
(801,2018)
(839,1124)
(869,494)
(973,706)
(1109,2085)
(1169,735)
(1589,1290)
(1710,2146)
(1822,2572)
(1869,2572)
(2099,2685)
(2251,1807)
(2311,2430)
(2460,824)
(2552,1635)
(2673,938)
(2792,1287)
(2880,897)
(2882,1980)
(3001,2472)
(3405,1844)
(73,586)
(102,572)
(165,963)
(195,1123)
(326,1395)
(330,975)
(449,1649)
(809,2387)
(1057,1447)
(1078,2497)
(1086,2604)
(1200,150)
(1290,2198)
(1499,165)
(1529,764)
(1859,1394)
(1921,2355)
(2356,2129)
(2431,914)
(2551,1387)
(2582,1920)
(3031,2474)
(3059,1936)
(3061,1753)
(3120,1666)
(3121,1937)
(3301,1905)
(3436,1455)
(109,934)
(192,585)
(253,2548)
(315,1530)
(358,900)
(419,2386)
(540,1830)
(581,2550)
(592,2585)
(690,769)
(917,2550)
(961,982)
(1378,2265)
(1514,1096)
(1528,855)
(1558,525)
(1635,2669)
(1694,2326)
(1695,1395)
(1739,1921)
(1922,179)
(1936,2288)
(1950,389)
(2100,1452)
(2610,2266)
(2671,840)
(2700,1095)
(2791,1996)
(2851,1830)
(2895,30)
(3119,286)
(3138,2322)
(3255,1095)
(150,1305)
(225,2583)
(270,675)
(270,1575)
(288,2550)
(291,1785)
(314,883)
(687,2385)
(824,766)
(867,2505)
(973,2288)
(1109,1148)
(1110,1402)
(1137,2190)
(1408,615)
(1438,615)
(2281,1201)
(2342,1574)
(2369,855)
(2506,2205)
(2747,2776)
(2803,507)
(2821,1734)
(3001,2294)
(3180,2726)
(3180,2772)
(3268,2026)
(74,1425)
(150,1485)
(164,1545)
(179,1063)
(180,1997)
(255,2582)
(298,705)
(329,2126)
(450,662)
(629,2379)
(1124,240)
(1256,2506)
(1529,1636)
(1995,1470)
(2312,1921)
(2340,1754)
(2493,187)
(2583,2267)
(2836,1396)
(2970,1560)
(3074,2296)
(3180,2161)
(3188,2100)
(3270,2124)
(3329,2264)
(90,1831)
(105,1787)
(106,860)
(194,1546)
(300,1650)
(346,2547)
(523,2586)
(555,2585)
(749,1432)
(898,390)
(914,1244)
(966,1199)
(1094,345)
(1184,1263)
(1227,614)
(1583,914)
(2101,2398)
(3032,1560)
(3134,1006)
(3144,2685)
(3144,2732)
(3156,2773)
(45,556)
(107,544)
(231,2551)
(238,1398)
(329,2641)
(360,512)
(403,2585)
(493,2586)
(600,1755)
(765,615)
(1251,2175)
(1318,615)
(1439,300)
(1514,1049)
